month,rank,symbol,prev_month_quote_volume
2021-01,1,BTCUSDT,0
2021-01,2,ETHUSDT,0
2021-01,3,XRPUSDT,0
2021-01,4,SOLUSDT,0
2021-01,5,DOGEUSDT,0
2021-01,6,ADAUSDT,0
2021-02,1,BTCUSDT,0
2021-02,2,ETHUSDT,0
2021-02,3,XRPUSDT,0
2021-02,4,SOLUSDT,0
2021-02,5,DOGEUSDT,0
2021-02,6,ADAUSDT,0
2021-03,1,BTCUSDT,0
2021-03,2,ETHUSDT,0
2021-03,3,XRPUSDT,0
2021-03,4,SOLUSDT,0
2021-03,5,DOGEUSDT,0
2021-03,6,ADAUSDT,0
2021-04,1,BTCUSDT,0
2021-04,2,ETHUSDT,0
2021-04,3,XRPUSDT,0
2021-04,4,SOLUSDT,0
2021-04,5,DOGEUSDT,0
2021-04,6,ADAUSDT,0
2021-05,1,BTCUSDT,0
2021-05,2,ETHUSDT,0
2021-05,3,XRPUSDT,0
2021-05,4,SOLUSDT,0
2021-05,5,DOGEUSDT,0
2021-05,6,ADAUSDT,0
2021-06,1,BTCUSDT,0
2021-06,2,ETHUSDT,0
2021-06,3,XRPUSDT,0
2021-06,4,SOLUSDT,0
2021-06,5,DOGEUSDT,0
2021-06,6,ADAUSDT,0
2021-07,1,BTCUSDT,0
2021-07,2,ETHUSDT,0
2021-07,3,XRPUSDT,0
2021-07,4,SOLUSDT,0
2021-07,5,DOGEUSDT,0
2021-07,6,ADAUSDT,0
2021-08,1,BTCUSDT,0
2021-08,2,ETHUSDT,0
2021-08,3,XRPUSDT,0
2021-08,4,SOLUSDT,0
2021-08,5,DOGEUSDT,0
2021-08,6,ADAUSDT,0
2021-09,1,BTCUSDT,0
2021-09,2,ETHUSDT,0
2021-09,3,XRPUSDT,0
2021-09,4,SOLUSDT,0
2021-09,5,DOGEUSDT,0
2021-09,6,ADAUSDT,0
2021-10,1,BTCUSDT,0
2021-10,2,ETHUSDT,0
2021-10,3,XRPUSDT,0
2021-10,4,SOLUSDT,0
2021-10,5,DOGEUSDT,0
2021-10,6,ADAUSDT,0
2021-11,1,BTCUSDT,0
2021-11,2,ETHUSDT,0
2021-11,3,XRPUSDT,0
2021-11,4,SOLUSDT,0
2021-11,5,DOGEUSDT,0
2021-11,6,ADAUSDT,0
2021-12,1,BTCUSDT,0
2021-12,2,ETHUSDT,0
2021-12,3,XRPUSDT,0
2021-12,4,SOLUSDT,0
2021-12,5,DOGEUSDT,0
2021-12,6,ADAUSDT,0
2022-01,1,BTCUSDT,0
2022-01,2,ETHUSDT,0
2022-01,3,XRPUSDT,0
2022-01,4,SOLUSDT,0
2022-01,5,DOGEUSDT,0
2022-01,6,ADAUSDT,0
2022-02,1,BTCUSDT,0
2022-02,2,ETHUSDT,0
2022-02,3,XRPUSDT,0
2022-02,4,SOLUSDT,0
2022-02,5,DOGEUSDT,0
2022-02,6,ADAUSDT,0
2022-03,1,BTCUSDT,0
2022-03,2,ETHUSDT,0
2022-03,3,XRPUSDT,0
2022-03,4,SOLUSDT,0
2022-03,5,DOGEUSDT,0
2022-03,6,ADAUSDT,0
2022-04,1,BTCUSDT,0
2022-04,2,ETHUSDT,0
2022-04,3,XRPUSDT,0
2022-04,4,SOLUSDT,0
2022-04,5,DOGEUSDT,0
2022-04,6,ADAUSDT,0
2022-05,1,BTCUSDT,0
2022-05,2,ETHUSDT,0
2022-05,3,XRPUSDT,0
2022-05,4,SOLUSDT,0
2022-05,5,DOGEUSDT,0
2022-05,6,ADAUSDT,0
2022-06,1,BTCUSDT,0
2022-06,2,ETHUSDT,0
2022-06,3,XRPUSDT,0
2022-06,4,SOLUSDT,0
2022-06,5,DOGEUSDT,0
2022-06,6,ADAUSDT,0
2022-07,1,BTCUSDT,0
2022-07,2,ETHUSDT,0
2022-07,3,XRPUSDT,0
2022-07,4,SOLUSDT,0
2022-07,5,DOGEUSDT,0
2022-07,6,ADAUSDT,0
2022-08,1,BTCUSDT,0
2022-08,2,ETHUSDT,0
2022-08,3,XRPUSDT,0
2022-08,4,SOLUSDT,0
2022-08,5,DOGEUSDT,0
2022-08,6,ADAUSDT,0
2022-09,1,BTCUSDT,0
2022-09,2,ETHUSDT,0
2022-09,3,XRPUSDT,0
2022-09,4,SOLUSDT,0
2022-09,5,DOGEUSDT,0
2022-09,6,ADAUSDT,0
2022-10,1,BTCUSDT,0
2022-10,2,ETHUSDT,0
2022-10,3,XRPUSDT,0
2022-10,4,SOLUSDT,0
2022-10,5,DOGEUSDT,0
2022-10,6,ADAUSDT,0
2022-11,1,BTCUSDT,0
2022-11,2,ETHUSDT,0
2022-11,3,XRPUSDT,0
2022-11,4,SOLUSDT,0
2022-11,5,DOGEUSDT,0
2022-11,6,ADAUSDT,0
2022-12,1,BTCUSDT,0
2022-12,2,ETHUSDT,0
2022-12,3,XRPUSDT,0
2022-12,4,SOLUSDT,0
2022-12,5,DOGEUSDT,0
2022-12,6,ADAUSDT,0
2023-01,1,BTCUSDT,0
2023-01,2,ETHUSDT,0
2023-01,3,XRPUSDT,0
2023-01,4,SOLUSDT,0
2023-01,5,DOGEUSDT,0
2023-01,6,ADAUSDT,0
