month,rank,symbol,prev_month_quote_volume
2020-03,1,BTCUSDT,44137073362
2020-03,2,ETHUSDT,10266760130
2020-03,3,BCHUSDT,4916140307
2020-04,1,BTCUSDT,69290367964
2020-04,2,ETHUSDT,10401455656
2020-04,3,BCHUSDT,3816220812
2020-04,4,LINKUSDT,2986600561
2020-04,5,LTCUSDT,1564873591
2020-04,6,ETCUSDT,1506945290
2020-04,7,EOSUSDT,1414213919
2020-04,8,XRPUSDT,1299071700
2020-04,9,TRXUSDT,381162469
2020-04,10,ADAUSDT,326524426
2020-04,11,XLMUSDT,209949322
2020-05,1,BTCUSDT,82410490800
2020-05,2,ETHUSDT,11152192197
2020-05,3,LINKUSDT,3350231387
2020-05,4,BCHUSDT,2874426689
2020-05,5,XTZUSDT,1614998693
2020-05,6,LTCUSDT,990445910
2020-05,7,BNBUSDT,922190069
2020-05,8,XRPUSDT,886511510
2020-05,9,EOSUSDT,858742723
2020-05,10,ETCUSDT,665262609
2020-05,11,XLMUSDT,363078007
2020-05,12,DASHUSDT,323861206
2020-05,13,ZECUSDT,318641365
2020-05,14,ADAUSDT,309934803
2020-05,15,TRXUSDT,256528494
2020-05,16,ATOMUSDT,201816608
2020-05,17,XMRUSDT,195296989
2020-05,18,NEOUSDT,118198669
2020-05,19,ONTUSDT,111253075
2020-05,20,VETUSDT,98783940
2020-06,1,BTCUSDT,114834224291
2020-06,2,ETHUSDT,10374281997
2020-06,3,BCHUSDT,2214103653
2020-06,4,LINKUSDT,1691390754
2020-06,5,ETCUSDT,1192269727
2020-06,6,XTZUSDT,1135854383
2020-06,7,ADAUSDT,1025914046
2020-06,8,LTCUSDT,1007629736
2020-06,9,XRPUSDT,979238054
2020-06,10,EOSUSDT,947191997
2020-06,11,BNBUSDT,602807185
2020-06,12,XLMUSDT,426314992
2020-06,13,TRXUSDT,402792175
2020-06,14,VETUSDT,300140828
2020-06,15,NEOUSDT,282537440
2020-06,16,ZECUSDT,254239246
2020-06,17,DASHUSDT,251705161
2020-06,18,XMRUSDT,206298308
2020-06,19,BATUSDT,191599195
2020-06,20,ONTUSDT,174220670
2020-07,1,BTCUSDT,63286531728
2020-07,2,ETHUSDT,8339449728
2020-07,3,ADAUSDT,1999714804
2020-07,4,BCHUSDT,1659206188
2020-07,5,LINKUSDT,1475969143
2020-07,6,VETUSDT,1242599510
2020-07,7,EOSUSDT,891489605
2020-07,8,XRPUSDT,830219165
2020-07,9,XTZUSDT,815680090
2020-07,10,LTCUSDT,688108197
2020-07,11,ETCUSDT,436125983
2020-07,12,IOSTUSDT,419199807
2020-07,13,TRXUSDT,408023330
2020-07,14,XLMUSDT,392619581
2020-07,15,BNBUSDT,368833146
2020-07,16,ONTUSDT,329868258
2020-07,17,BATUSDT,305747688
2020-07,18,ZECUSDT,305719067
2020-07,19,NEOUSDT,298724180
2020-07,20,ATOMUSDT,193873196
2020-08,1,BTCUSDT,56591063439
2020-08,2,ETHUSDT,13106885163
2020-08,3,LINKUSDT,6995654531
2020-08,4,ADAUSDT,4291510282
2020-08,5,VETUSDT,2597181845
2020-08,6,XTZUSDT,2411007752
2020-08,7,XRPUSDT,2270772467
2020-08,8,BCHUSDT,2214871677
2020-08,9,XLMUSDT,1816668086
2020-08,10,LTCUSDT,1650624454
2020-08,11,EOSUSDT,1361274012
2020-08,12,BNBUSDT,1127987716
2020-08,13,ATOMUSDT,795265385
2020-08,14,ETCUSDT,743561376
2020-08,15,TRXUSDT,658646245
2020-08,16,ONTUSDT,540892221
2020-08,17,IOSTUSDT,525230347
2020-08,18,ZECUSDT,504812867
2020-08,19,NEOUSDT,357425081
2020-08,20,BATUSDT,301149177
2020-09,1,BTCUSDT,78458077325
2020-09,2,ETHUSDT,25556085662
2020-09,3,LINKUSDT,16940496087
2020-09,4,XRPUSDT,5033061721
2020-09,5,BCHUSDT,4089972261
2020-09,6,XTZUSDT,3825057162
2020-09,7,LTCUSDT,3715445347
2020-09,8,EOSUSDT,3375590719
2020-09,9,OMGUSDT,2973778446
2020-09,10,ADAUSDT,2101970201
2020-09,11,TRXUSDT,1631261562
2020-09,12,ALGOUSDT,1581910448
2020-09,13,ATOMUSDT,1567926581
2020-09,14,BNBUSDT,1500716798
2020-09,15,COMPUSDT,1343863877
2020-09,16,ZECUSDT,1247416198
2020-09,17,ETCUSDT,1194269269
2020-09,18,ZRXUSDT,1051837927
2020-09,19,XLMUSDT,1049600774
2020-09,20,VETUSDT,1043535310
2020-10,1,BTCUSDT,68405649033
2020-10,2,ETHUSDT,27799976483
2020-10,3,LINKUSDT,10517656754
2020-10,4,TRXUSDT,4374152802
2020-10,5,BNBUSDT,3610718806
2020-10,6,BCHUSDT,1989259906
2020-10,7,XRPUSDT,1808268464
2020-10,8,EOSUSDT,1773218121
2020-10,9,SXPUSDT,1657783920
2020-10,10,LTCUSDT,1521720961
2020-10,11,ADAUSDT,1359104749
2020-10,12,NEOUSDT,1255658071
2020-10,13,OMGUSDT,1177617885
2020-10,14,BANDUSDT,1171754773
2020-10,15,LENDUSDT,1122820744
